location,year,total_sqft,bath,bhk,price per feet,price
1.Achiyammapeta,2018,1750,1,2,2600.0,4550000
1.Achiyammapeta,2018,1565,2,2,2600.0,4069000
1.Achiyammapeta,2018,1250,2,2,2600.0,3250000
1.Achiyammapeta,2018,1000,2,3,2600.0,2600000
1.Achiyammapeta,2018,750,1,2,2600.0,1950000
2.Adarsh Nagar,2018,1750,1,2,2400.0,4200000
2.Adarsh Nagar,2018,1565,2,2,2400.0,3756000
2.Adarsh Nagar,2018,1250,2,2,2400.0,3000000
2.Adarsh Nagar,2018,1000,2,3,2400.0,2400000
2.Adarsh Nagar,2018,750,1,2,2400.0,1800000
3.Akkayyapalem,2018,1750,1,2,5200.0,9100000
3.Akkayyapalem,2018,1565,2,2,5200.0,8138000
3.Akkayyapalem,2018,1250,2,2,5200.0,6500000
3.Akkayyapalem,2018,1000,2,3,5200.0,5200000
3.Akkayyapalem,2018,750,1,2,5200.0,3900000
4.Allipuram,2018,1750,1,2,3000.0,5250000
4.Allipuram,2018,1565,2,2,3000.0,4695000
4.Allipuram,2018,1250,2,2,3000.0,3750000
4.Allipuram,2018,1000,2,3,3000.0,3000000
4.Allipuram,2018,750,1,2,3000.0,2250000
5.Allipuram Bazzar,2018,1750,1,2,4300.0,7525000
5.Allipuram Bazzar,2018,1565,2,2,4300.0,6729500
5.Allipuram Bazzar,2018,1250,2,2,4300.0,5375000
5.Allipuram Bazzar,2018,1000,2,3,4300.0,4300000
5.Allipuram Bazzar,2018,750,1,2,4300.0,3225000
6.Ambedkar Colony Bhupesh nagar Allipuram,2018,1750,1,2,2600.0,4550000
6.Ambedkar Colony Bhupesh nagar Allipuram,2018,1565,2,2,2600.0,4069000
6.Ambedkar Colony Bhupesh nagar Allipuram,2018,1250,2,2,2600.0,3250000
6.Ambedkar Colony Bhupesh nagar Allipuram,2018,1000,2,3,2600.0,2600000
6.Ambedkar Colony Bhupesh nagar Allipuram,2018,750,1,2,2600.0,1950000
7.Ammavari Street Chinawaltair,2018,1750,1,2,2600.0,4550000
7.Ammavari Street Chinawaltair,2018,1565,2,2,2600.0,4069000
7.Ammavari Street Chinawaltair,2018,1250,2,2,2600.0,3250000
7.Ammavari Street Chinawaltair,2018,1000,2,3,2600.0,2600000
7.Ammavari Street Chinawaltair,2018,750,1,2,2600.0,1950000
8.AndhraUniversity,2018,1750,1,2,4600.0,8050000
8.AndhraUniversity,2018,1565,2,2,4600.0,7199000
8.AndhraUniversity,2018,1250,2,2,4600.0,5750000
8.AndhraUniversity,2018,1000,2,3,4600.0,4600000
8.AndhraUniversity,2018,750,1,2,4600.0,3450000
9.Anjaneya Swamy Temple Pedda Waltair,2018,1750,1,2,3900.0,6825000
9.Anjaneya Swamy Temple Pedda Waltair,2018,1565,2,2,3900.0,6103500
9.Anjaneya Swamy Temple Pedda Waltair,2018,1250,2,2,3900.0,4875000
9.Anjaneya Swamy Temple Pedda Waltair,2018,1000,2,3,3900.0,3900000
9.Anjaneya Swamy Temple Pedda Waltair,2018,750,1,2,3900.0,2925000
10.Anthony Nagar Penta Street,2018,1750,1,2,3100.0,5425000
10.Anthony Nagar Penta Street,2018,1565,2,2,3100.0,4851500
10.Anthony Nagar Penta Street,2018,1250,2,2,3100.0,3875000
10.Anthony Nagar Penta Street,2018,1000,2,3,3100.0,3100000
10.Anthony Nagar Penta Street,2018,750,1,2,3100.0,2325000
11.ApsebColony,2018,1750,1,2,3700.0,6475000
11.ApsebColony,2018,1565,2,2,3700.0,5790500
11.ApsebColony,2018,1250,2,2,3700.0,4625000
11.ApsebColony,2018,1000,2,3,3700.0,3700000
11.ApsebColony,2018,750,1,2,3700.0,2775000
12.Arilova Sector 1,2018,1750,1,2,2400.0,4200000
12.Arilova Sector 1,2018,1565,2,2,2400.0,3756000
12.Arilova Sector 1,2018,1250,2,2,2400.0,3000000
12.Arilova Sector 1,2018,1000,2,3,2400.0,2400000
12.Arilova Sector 1,2018,750,1,2,2400.0,1800000
13.Arilova Sector11,2018,1750,1,2,2400.0,4200000
13.Arilova Sector11,2018,1565,2,2,2400.0,3756000
13.Arilova Sector11,2018,1250,2,2,2400.0,3000000
13.Arilova Sector11,2018,1000,2,3,2400.0,2400000
13.Arilova Sector11,2018,750,1,2,2400.0,1800000
14.AshokNagar,2018,1750,1,2,2300.0,4025000
14.AshokNagar,2018,1565,2,2,2300.0,3599500
14.AshokNagar,2018,1250,2,2,2300.0,2875000
14.AshokNagar,2018,1000,2,3,2300.0,2300000
14.AshokNagar,2018,750,1,2,2300.0,1725000
15.Asilmetta Junction,2018,1750,1,2,4000.0,7000000
15.Asilmetta Junction,2018,1565,2,2,4000.0,6260000
15.Asilmetta Junction,2018,1250,2,2,4000.0,5000000
15.Asilmetta Junction,2018,1000,2,3,4000.0,4000000
15.Asilmetta Junction,2018,750,1,2,4000.0,3000000
16.ASR statue Steel plant Staff Quarters,2018,1750,1,2,3400.0,5950000
16.ASR statue Steel plant Staff Quarters,2018,1565,2,2,3400.0,5321000
16.ASR statue Steel plant Staff Quarters,2018,1250,2,2,3400.0,4250000
16.ASR statue Steel plant Staff Quarters,2018,1000,2,3,3400.0,3400000
16.ASR statue Steel plant Staff Quarters,2018,750,1,2,3400.0,2550000
17.AssamGardens Allipuram,2018,1750,1,2,5000.0,8750000
17.AssamGardens Allipuram,2018,1565,2,2,5000.0,7825000
17.AssamGardens Allipuram,2018,1250,2,2,5000.0,6250000
17.AssamGardens Allipuram,2018,1000,2,3,5000.0,5000000
17.AssamGardens Allipuram,2018,750,1,2,5000.0,3750000
18.AU Distance Education Centre Kirlampudi Layout,2018,1750,1,2,3800.0,6650000
18.AU Distance Education Centre Kirlampudi Layout,2018,1565,2,2,3800.0,5947000
18.AU Distance Education Centre Kirlampudi Layout,2018,1250,2,2,3800.0,4750000
18.AU Distance Education Centre Kirlampudi Layout,2018,1000,2,3,3800.0,3800000
18.AU Distance Education Centre Kirlampudi Layout,2018,750,1,2,3800.0,2850000
19.AU Outgate,2018,1750,1,2,3400.0,5950000
19.AU Outgate,2018,1565,2,2,3400.0,5321000
19.AU Outgate,2018,1250,2,2,3400.0,4250000
19.AU Outgate,2018,1000,2,3,3400.0,3400000
19.AU Outgate,2018,750,1,2,3400.0,2550000
20.AU Quarters Sirupuram,2018,1750,1,2,4900.0,8575000
20.AU Quarters Sirupuram,2018,1565,2,2,4900.0,7668500
20.AU Quarters Sirupuram,2018,1250,2,2,4900.0,6125000
20.AU Quarters Sirupuram,2018,1000,2,3,4900.0,4900000
20.AU Quarters Sirupuram,2018,750,1,2,4900.0,3675000
21.AVN College road,2018,1750,1,2,3500.0,6125000
21.AVN College road,2018,1565,2,2,3500.0,5477500
21.AVN College road,2018,1250,2,2,3500.0,4375000
21.AVN College road,2018,1000,2,3,3500.0,3500000
21.AVN College road,2018,750,1,2,3500.0,2625000
22.Bakkannapalem,2018,1750,1,2,2100.0,3675000
22.Bakkannapalem,2018,1565,2,2,2100.0,3286500
22.Bakkannapalem,2018,1250,2,2,2100.0,2625000
22.Bakkannapalem,2018,1000,2,3,2100.0,2100000
22.Bakkannapalem,2018,750,1,2,2100.0,1575000
23.BalajiNagar,2018,1750,1,2,4900.0,8575000
23.BalajiNagar,2018,1565,2,2,4900.0,7668500
23.BalajiNagar,2018,1250,2,2,4900.0,6125000
23.BalajiNagar,2018,1000,2,3,4900.0,4900000
23.BalajiNagar,2018,750,1,2,4900.0,3675000
24.Bangaramma Metta,2018,1750,1,2,2700.0,4725000
24.Bangaramma Metta,2018,1565,2,2,2700.0,4225500
24.Bangaramma Metta,2018,1250,2,2,2700.0,3375000
24.Bangaramma Metta,2018,1000,2,3,2700.0,2700000
24.Bangaramma Metta,2018,750,1,2,2700.0,2025000
25.Banoji nagar Ramnagar,2018,1750,1,2,3200.0,5600000
25.Banoji nagar Ramnagar,2018,1565,2,2,3200.0,5008000
25.Banoji nagar Ramnagar,2018,1250,2,2,3200.0,4000000
25.Banoji nagar Ramnagar,2018,1000,2,3,3200.0,3200000
25.Banoji nagar Ramnagar,2018,750,1,2,3200.0,2400000
26.BeachRoad,2018,1750,1,2,2300.0,4025000
26.BeachRoad,2018,1565,2,2,2300.0,3599500
26.BeachRoad,2018,1250,2,2,2300.0,2875000
26.BeachRoad,2018,1000,2,3,2300.0,2300000
26.BeachRoad,2018,750,1,2,2300.0,1725000
27.Bullayya College Road Resapuvanipalem,2018,1750,1,2,3700.0,6475000
27.Bullayya College Road Resapuvanipalem,2018,1565,2,2,3700.0,5790500
27.Bullayya College Road Resapuvanipalem,2018,1250,2,2,3700.0,4625000
27.Bullayya College Road Resapuvanipalem,2018,1000,2,3,3700.0,3700000
