location,year,total_sqft,bath,bhk,price per feet,price
Achiyammapeta,2018,1750,1,2,2600.0,4550000
Achiyammapeta,2018,1565,2,2,2600.0,4069000
Achiyammapeta,2018,1250,2,2,2600.0,3250000
Achiyammapeta,2018,1000,2,3,2600.0,2600000
Achiyammapeta,2018,750,1,2,2600.0,1950000
Adarsh Nagar,2018,1750,1,2,2400.0,4200000
Adarsh Nagar,2018,1565,2,2,2400.0,3756000
Adarsh Nagar,2018,1250,2,2,2400.0,3000000
Adarsh Nagar,2018,1000,2,3,2400.0,2400000
Adarsh Nagar,2018,750,1,2,2400.0,1800000
Akkayyapalem,2018,1750,1,2,5200.0,9100000
Akkayyapalem,2018,1565,2,2,5200.0,8138000
Akkayyapalem,2018,1250,2,2,5200.0,6500000
Akkayyapalem,2018,1000,2,3,5200.0,5200000
Akkayyapalem,2018,750,1,2,5200.0,3900000
Allipuram,2018,1750,1,2,3000.0,5250000
Allipuram,2018,1565,2,2,3000.0,4695000
Allipuram,2018,1250,2,2,3000.0,3750000
Allipuram,2018,1000,2,3,3000.0,3000000
Allipuram,2018,750,1,2,3000.0,2250000
Allipuram Bazzar,2018,1750,1,2,4300.0,7525000
Allipuram Bazzar,2018,1565,2,2,4300.0,6729500
Allipuram Bazzar,2018,1250,2,2,4300.0,5375000
Allipuram Bazzar,2018,1000,2,3,4300.0,4300000
Allipuram Bazzar,2018,750,1,2,4300.0,3225000
Ambedkar Colony Bhupesh nagar Allipuram,2018,1750,1,2,2600.0,4550000
Ambedkar Colony Bhupesh nagar Allipuram,2018,1565,2,2,2600.0,4069000
Ambedkar Colony Bhupesh nagar Allipuram,2018,1250,2,2,2600.0,3250000
Ambedkar Colony Bhupesh nagar Allipuram,2018,1000,2,3,2600.0,2600000
Ambedkar Colony Bhupesh nagar Allipuram,2018,750,1,2,2600.0,1950000
Ammavari Street Chinawaltair,2018,1750,1,2,2600.0,4550000
Ammavari Street Chinawaltair,2018,1565,2,2,2600.0,4069000
Ammavari Street Chinawaltair,2018,1250,2,2,2600.0,3250000
Ammavari Street Chinawaltair,2018,1000,2,3,2600.0,2600000
Ammavari Street Chinawaltair,2018,750,1,2,2600.0,1950000
AndhraUniversity,2018,1750,1,2,4600.0,8050000
AndhraUniversity,2018,1565,2,2,4600.0,7199000
AndhraUniversity,2018,1250,2,2,4600.0,5750000
AndhraUniversity,2018,1000,2,3,4600.0,4600000
AndhraUniversity,2018,750,1,2,4600.0,3450000
Anjaneya Swamy Temple Pedda Waltair,2018,1750,1,2,3900.0,6825000
Anjaneya Swamy Temple Pedda Waltair,2018,1565,2,2,3900.0,6103500
Anjaneya Swamy Temple Pedda Waltair,2018,1250,2,2,3900.0,4875000
Anjaneya Swamy Temple Pedda Waltair,2018,1000,2,3,3900.0,3900000
Anjaneya Swamy Temple Pedda Waltair,2018,750,1,2,3900.0,2925000
Anthony Nagar Penta Street,2018,1750,1,2,3100.0,5425000
Anthony Nagar Penta Street,2018,1565,2,2,3100.0,4851500
Anthony Nagar Penta Street,2018,1250,2,2,3100.0,3875000
Anthony Nagar Penta Street,2018,1000,2,3,3100.0,3100000
Anthony Nagar Penta Street,2018,750,1,2,3100.0,2325000
ApsebColony,2018,1750,1,2,3700.0,6475000
ApsebColony,2018,1565,2,2,3700.0,5790500
ApsebColony,2018,1250,2,2,3700.0,4625000
ApsebColony,2018,1000,2,3,3700.0,3700000
ApsebColony,2018,750,1,2,3700.0,2775000
Arilova Sector 1,2018,1750,1,2,2400.0,4200000
Arilova Sector 1,2018,1565,2,2,2400.0,3756000
Arilova Sector 1,2018,1250,2,2,2400.0,3000000
Arilova Sector 1,2018,1000,2,3,2400.0,2400000
Arilova Sector 1,2018,750,1,2,2400.0,1800000
Arilova Sector11,2018,1750,1,2,2400.0,4200000
Arilova Sector11,2018,1565,2,2,2400.0,3756000
Arilova Sector11,2018,1250,2,2,2400.0,3000000
Arilova Sector11,2018,1000,2,3,2400.0,2400000
Arilova Sector11,2018,750,1,2,2400.0,1800000
AshokNagar,2018,1750,1,2,2300.0,4025000
AshokNagar,2018,1565,2,2,2300.0,3599500
AshokNagar,2018,1250,2,2,2300.0,2875000
AshokNagar,2018,1000,2,3,2300.0,2300000
AshokNagar,2018,750,1,2,2300.0,1725000
Asilmetta Junction,2018,1750,1,2,4000.0,7000000
Asilmetta Junction,2018,1565,2,2,4000.0,6260000
Asilmetta Junction,2018,1250,2,2,4000.0,5000000
Asilmetta Junction,2018,1000,2,3,4000.0,4000000
Asilmetta Junction,2018,750,1,2,4000.0,3000000
ASR statue Steel plant Staff Quarters,2018,1750,1,2,3400.0,5950000
ASR statue Steel plant Staff Quarters,2018,1565,2,2,3400.0,5321000
ASR statue Steel plant Staff Quarters,2018,1250,2,2,3400.0,4250000
ASR statue Steel plant Staff Quarters,2018,1000,2,3,3400.0,3400000
ASR statue Steel plant Staff Quarters,2018,750,1,2,3400.0,2550000
AssamGardens Allipuram,2018,1750,1,2,5000.0,8750000
AssamGardens Allipuram,2018,1565,2,2,5000.0,7825000
AssamGardens Allipuram,2018,1250,2,2,5000.0,6250000
AssamGardens Allipuram,2018,1000,2,3,5000.0,5000000
AssamGardens Allipuram,2018,750,1,2,5000.0,3750000
AU Distance Education Centre Kirlampudi Layout,2018,1750,1,2,3800.0,6650000
AU Distance Education Centre Kirlampudi Layout,2018,1565,2,2,3800.0,5947000
AU Distance Education Centre Kirlampudi Layout,2018,1250,2,2,3800.0,4750000
AU Distance Education Centre Kirlampudi Layout,2018,1000,2,3,3800.0,3800000
AU Distance Education Centre Kirlampudi Layout,2018,750,1,2,3800.0,2850000
AU Outgate,2018,1750,1,2,3400.0,5950000
AU Outgate,2018,1565,2,2,3400.0,5321000
AU Outgate,2018,1250,2,2,3400.0,4250000
AU Outgate,2018,1000,2,3,3400.0,3400000
AU Outgate,2018,750,1,2,3400.0,2550000
AU Quarters Sirupuram,2018,1750,1,2,4900.0,8575000
AU Quarters Sirupuram,2018,1565,2,2,4900.0,7668500
AU Quarters Sirupuram,2018,1250,2,2,4900.0,6125000
AU Quarters Sirupuram,2018,1000,2,3,4900.0,4900000
AU Quarters Sirupuram,2018,750,1,2,4900.0,3675000
AVN College road,2018,1750,1,2,3500.0,6125000
AVN College road,2018,1565,2,2,3500.0,5477500
AVN College road,2018,1250,2,2,3500.0,4375000
AVN College road,2018,1000,2,3,3500.0,3500000
AVN College road,2018,750,1,2,3500.0,2625000
Bakkannapalem,2018,1750,1,2,2100.0,3675000
Bakkannapalem,2018,1565,2,2,2100.0,3286500
Bakkannapalem,2018,1250,2,2,2100.0,2625000
